,Ingrediente,Fonte,Necessário para,Tipo,Estação,crescimento_produção,Descrição,Preço de Venda,Item de entrada,Horário,Clima,Dificuldade,Ingredientes,Bônus,Duração do Bônus,Energia,Saúde,Preço de Venda Condicional,Condição de preço condicional
201,Salada de repolho,"Rainha do Molho  14 Primavera, Ano 1",,receitas,,,"Leve, fresquinha e saudável.",345.0,,,,,Repolho roxo  (1)  Vinagre  (1)  Maionese  (1),,,213,95,None,
204,Risoto de samambaia,"Rainha do Molho  28 Outono, Ano 2",,receitas,,,Um prato de arroz cremoso com samambaias salteadas. É meio insosso.,350.0,,,,,Óleo  (1)  Broto de samambaia  (1)  Alho  (1),,,225,101,None,
207,Bolinho de papoula,"Rainha do Molho  7 Inverno, Ano 2",,receitas,,,Possui efeito calmante.,250.0,,,,,Papoula  (1)  Farinha de trigo  (1)  Açúcar  (1),,,150,67,None,
210,Sopa de peixe,Willy  (Correio - 3+  ),,receitas,,,Para se esquentar após uma noite fria no mar.,135.0,,,,,Concha  (1)  Leite  (1),Pesca  (+1),16min47s,225,101,None,
211,Guisado de peixe,Willy  (Correio - 7+  ),,receitas,,,Tem cheiro de mar. Mas o gosto é melhor.,175.0,,,,,Lagostim  (1)  Mexilhão  (1)  Caramujo  (1)  Tomate  (1),Pesca  (+3),16min47s,225,101,None,
212,Escargô,Willy  (Correio- 5+  ),,receitas,,,Lesmas cobertas de manteiga e cozidas com perfeição.,125.0,,,,,Lesma  (1)  Alho  (1),Pesca  (+2),16min47s,225,101,None,
213,Bisque de lagosta,"Rainha do Molho  14 Inverno, Ano 2  Willy  (Correio - 9+  )",,receitas,,,Esta sopa delicada é uma receita secreta de família do Willy.,205.0,,,,,Lagosta  (1)  Leite  (1),Pesca  (+3)  Energia Máxima  (+50),16min47s,225,101,None,
216,Pão de ácer,"Rainha do Molho  14 Verão, Ano 2",,receitas,,,Uma rosquinha doce coberta com ácer.,300.0,,,,,Xarope de ácer  (1)  Açúcar  (1)  Farinha de trigo  (1),Cultivo  (+1)  Pesca  (+1)  Mineração  (+1),16min47s,225,101,None,
219,Bolinhos de caranguejo,"Rainha do Molho  21 Outono, Ano 2",,receitas,,,"Caranguejo, pão e ovo achatados e fritos até ficarem dourados.",275.0,,,,,Caranguejo  (1)  Farinha de trigo  (1)  Ovo  (1)  Óleo  (1),Velocidade  (+1)  Defesa  (+1),16min47s,225,101,None,
222,Coquetel de Camarão,"Rainha do Molho  28 Inverno, Ano 2",,receitas,,,Um aperitivo suntuoso feito com camarão fresco.,160.0,,,,,Tomate  (1)  Camarão  (1)  Raiz-forte  (1),Pesca  (+1)  Sorte  (+1),10min2s,225,101,None,
225,Ginger Ale,Loja da Caverna do Vulcão  por  1 000 ouros,,receitas,,,Um refrigerante picante conhecido por seus efeitos acalmantes no estomâgo.,200.0,,,,,Gengibre  (3)  Açúcar  (1),Sorte  (+1),5min,63,28,None,
226,Pudim de Banana,Comerciante da Ilha,,receitas,,,Uma sobremsa cremosa com um incrível sabor tropical.,260.0,,,,,Banana  (1)  Leite  (1)  (Qualquer)  Açúcar  (1),Mineração  (+1)  Sorte  (+1)  Defesa  (+1),5min1s,125,56,None,
227,Arroz Doce de Manga,Leo  (Correio - 7+  ),,receitas,,,Manga doce e coco tornam este arroz em algo muito especial.,250.0,,,,,Manga  (1)  Coco  (1)  Arroz  (1),Defesa  (+3),5min1s,113,50,None,
228,Poi,Leo  (Correio - 3+  ),,receitas,,,Uma comida tradicional com um sabor delicado e doce quando está fresca.,400.0,,,,,Inhame-coco  (4),,,75,33,None,
229,Curry Tropical,Resort da Praia,,receitas,,,Um exótico e aromático curry servido em uma tigela de abacaxi.,500.0,,,,,Coco  (1)  Abacaxi  (1)  Pimenta quente  (1),Coleta  (+4),5min1s,150,67,None,
230,Ravioli de Tinta de Lula,Combate  (Nível 9),,receitas,,,Temporariamente protege de efeitos negativos.,150.0,,,,,Tinta de Lula  (1)  Farinha de trigo  (1)  Tomate  (1),Mineração  (+1)  Bônus de Ravioli  de Tinta de Lula,4min39s (Mineração)  2min59s (Bônus de Ravioli),125,56,None,
